,YEAR,TOT_POP,Non-hispanic AAPI,Black (combination) Non-Hispanic,Non-hispanic indian / alaskan native,Black  Hispanic,White hispanic,Hispanic indian alaskan,Hispanic aapi,"Non-hispanic, white",tot_man,err
11894,2000,120760,5088,4167,792,111,2071,61,66,108584,120940,-180
11913,2001,120968,5293,4297,804,117,2195,56,69,108349,121180,-212
11932,2002,121318,5527,4361,824,119,2205,61,64,108365,121526,-208
11951,2003,122498,5702,4455,837,111,2281,66,67,109201,122720,-222
11970,2004,123698,5907,4609,846,121,2363,59,73,109941,123919,-221
11989,2005,124752,6123,4701,856,122,2453,66,73,110603,124997,-245
12008,2006,126644,6332,4822,876,116,2553,65,80,112043,126887,-243
12027,2007,127903,6502,4952,904,123,2658,66,81,112896,128182,-279
12046,2008,129239,6567,5021,904,129,2758,69,83,113960,129491,-252
12065,2009,130738,6823,5221,920,130,2879,70,82,114880,131005,-267
11894,2010,138566,8792,5608,1032,331,3422,263,186,119374,139008,-442
11913,2011,140233,9389,5698,1018,313,3575,263,187,120225,140668,-435
11932,2012,141484,9929,5856,1030,340,3793,243,186,120544,141921,-437
11951,2013,142068,10329,5981,1033,338,3765,263,191,120635,142535,-467
11970,2014,143403,10745,6071,1034,340,3909,264,191,121281,143835,-432
11989,2015,144247,11035,6242,1060,362,3979,277,204,121563,144722,-475
12008,2016,145757,11698,6430,1080,377,4110,277,208,122087,146267,-510
12027,2017,146638,11648,6575,1088,387,4206,299,216,122704,147123,-485
12046,2018,147230,12041,6711,1079,408,4301,292,220,122691,147743,-513
12065,2019,148431,12447,6861,1122,413,4440,299,225,123137,148944,-513
4959,2020,139585,11119,6676,1067,474,5335,349,238,114888,140146,-561
4978,2021,140176,11138,6821,1066,489,5424,359,252,115184,140733,-557
4997,2022,139621,11087,6840,1056,515,5640,363,267,114402,140170,-549
5016,2023,139342,11387,6963,1046,523,5793,385,317,113519,139933,-591
